    0.216707819552886516E+01    0.214839444107850230E+01    0.925489159309609200E+01    0.380349516868591309E+00    0.565134286880493164E+02    0.977939316630363487E-01   -0.997337043021698715E+06   -0.690775511231546968E+01    1
    0.233010317870092409E+01    0.874914174522598898E+00    0.916404050166165796E+01    0.259843766689300537E+00    0.532327294349670410E+02    0.259069919586181648E-01   -0.980848534807497053E+06   -0.690875511231548245E+01    1
    0.200619381133192798E+01    0.146740574913931954E+01    0.934604664030598364E+01    0.440533816814422607E+00    0.624139308929443359E+02    0.183716494739055630E+00   -0.931864338986927527E+06   -0.690975511231547301E+01    1
    0.206051169999897477E+01    0.413625212288751709E+00    0.938151861578405644E+01   -0.977858006954193115E+00    0.965280532836914062E+02    0.306962102651596068E-02   -0.837389455369704519E+06   -0.691075511231547601E+01    1
    0.130737246091175074E+01    0.427242659747452791E+00    0.979199981465751890E+01   -0.641760766506195068E+00    0.477406382560729980E+02    0.191261782944202430E+00   -0.769426805557202548E+06   -0.691175511231546658E+01    1
    0.252056446280282787E+01    0.214913161995347579E+01    0.907227733259935043E+01    0.440057456493377686E+00    0.142069816589355469E+03    0.185729977190494555E+00   -0.727079815166172339E+06   -0.691275511231547579E+01    1
    0.122934497284197808E+01    0.349379405407203969E+00    0.987695307048028859E+01    0.895512104034423828E-01    0.256556153297424316E+03    0.141053259372711189E-02   -0.659311185956746223E+06   -0.691375511231547435E+01    1
    0.180781523741054539E+01    0.135720006453363751E+01    0.942928544815820224E+01   -0.207187312841415405E+01    0.596523284912109375E+02    0.164161211550235747E+00   -0.648925332928560325E+06   -0.691475511231548357E+01    1
    0.225832754025560645E+01    0.200826488939074288E+01    0.908954175426331901E+01   -0.188903176784515381E+01    0.141692161560058594E+02    0.241363817453384422E-01   -0.611274783502486069E+06   -0.691575511231552209E+01    1
    0.163083138122552640E+01    0.151279602049979034E+01    0.971768073484508754E+01   -0.371455430984497070E+00    0.317501485347747803E+03    0.127230463027954099E+00   -0.593246675187760033E+06   -0.691675511231554463E+01    1
    0.107625171860593571E+01    0.100365068978135663E+01    0.993692411980178569E+01   -0.308064103126525879E+00    0.212259650230407715E+03    0.135169988572597516E+00   -0.583342009218452615E+06   -0.691775511231549967E+01    1
