    0.547119452195647393E+00    0.407610283150874775E+00    0.100919377208947942E+02   -0.217973069407263242E+00    0.345821847428648312E+03    0.166706041456444853E+00   -0.134451893259076751E+02
    0.429355534059834509E+00    0.265821663098557259E+00    0.903671761351017722E+01   -0.536574880787403341E+00    0.232361629905815647E+03    0.420507416689389277E-01   -0.116561844560809504E+02
    0.505689738326858595E+00    0.317178048760288211E+00    0.989812515672590543E+01    0.440227736655792512E+00    0.263562125436846713E+03    0.118438252052447332E-01   -0.115286007896958171E+02
    0.478904149787516664E+00    0.305398714353380618E+00    0.947081784331769683E+01    0.361133452601621663E+00    0.236785150178832993E+03    0.177075671688576353E+00   -0.114094748422978540E+02
    0.409610878545954571E+00    0.219681873853017212E+00    0.909250018640325131E+01   -0.324472512386331235E+00    0.208436130707818421E+03    0.843262650816178072E-01   -0.113401846670761923E+02
    0.314120581661143705E+00    0.179218839433330723E+00    0.997401599122968641E+01   -0.529423330545690796E-01    0.153872618524910365E+03    0.131886241677803467E+00   -0.111058772893641056E+02
    0.652865863277917513E+00    0.472413904395844464E+00    0.946509516607803292E+01    0.116731856087938901E+00    0.407892221934712097E+03    0.136610752958229970E+00   -0.111006004260617122E+02
    0.376991623277299459E+00    0.216772838320481775E+00    0.993712631726559792E+01   -0.661915483417723216E+00    0.199645871639821962E+03    0.282508536456179023E-01   -0.109519328492359520E+02
    0.495476024831105200E+00    0.309807936513195992E+00    0.100152557624943945E+02   -0.152452585593977119E+00    0.272015301693485810E+03    0.141369607758331350E+00   -0.109187425143034087E+02
    0.253989430853192422E+00    0.140067102394318799E+00    0.920281743154588483E+01    0.809262188800548010E-01    0.123321933606907990E+03    0.160038583316496008E+00   -0.108734325939762098E+02
    0.538159114825644713E+00    0.378082919651043237E+00    0.919826650121050271E+01    0.122257636702119754E+00    0.293421572846270351E+03    0.174523337624562153E+00   -0.108600515235649091E+02
    0.500098363156056380E+00    0.341935030612516178E+00    0.992540597023566562E+01    0.215873713247021648E+00    0.268220357774590923E+03    0.670800154529878206E-01   -0.106597274128616100E+02
    0.565637790803831808E+00    0.381121191873486198E+00    0.967478718554399109E+01    0.342734331002568560E+00    0.309825377720245854E+03    0.192900267315057689E+00   -0.106448503772829373E+02
    0.362386729925471607E+00    0.201214493008166684E+00    0.991970061587436192E+01    0.826936915664950867E-01    0.177010507863946174E+03    0.119916478005154703E+00   -0.104951781003377764E+02
    0.532628122706143792E+00    0.345556584734208638E+00    0.996866069093715801E+01    0.370167375086447592E+00    0.287469615248758601E+03    0.924869247826988483E-01   -0.104899419765721138E+02
    0.488222729629935681E+00    0.307535628356506996E+00    0.953672358332306125E+01    0.411414243291723380E+00    0.243517443833205391E+03    0.160556991228725465E+00   -0.104109991811525351E+02
    0.252368365701908404E+00    0.147731338859272587E+00    0.946942571131837241E+01   -0.555039459685674252E+00    0.129011477945501667E+03    0.124476218519988149E+00   -0.103944902542204787E+02
